GID,idx_crime
라라557890,644.984
라라557891,3046.153
라라557892,6279.691
라라557897,1639.127
라라557898,1073.391
라라557903,307.932
라라557904,5834.28
라라557905,9450.116
라라557906,12700.579
라라557907,7244.742
라라557908,8878.624
라라557909,1862.033
라라557910,6451.479
라라558839,7289.161
라라558840,1610.418
라라558841,2214.86
라라558846,166.145
라라558847,1798.866
라라558854,2958.187
라라558855,11831.751
라라558856,4959.26
라라558857,192.234
라라558861,1038.212
라라558862,2099.58
라라558863,4939.557
라라558868,6305.984
라라558869,12927.615
라라558870,3324.015
라라558871,2845.041
라라558872,4969.419
라라558873,18613.27
라라558874,272.045
라라558875,7620.562
라라558876,8086.579
라라558877,7774.443
라라558878,10251.379
라라558879,7477.387
라라558880,263.055
라라558881,107.078
라라558882,3956.243
라라558883,505.597
라라558887,1819.828
라라558888,396.854
라라558890,5879.862
라라558891,20469.077
라라558892,6057.599
라라558893,3028.819
라라558894,4194.793
라라558895,3218.428
라라558896,222.062
라라558897,4746.614
라라558898,4229.144
라라558899,3451.702
라라558902,873.123
라라558903,5271.251
라라558904,9015.223
라라558905,26659.649
라라558906,1339.759
라라558907,1245.613
라라558908,3681.576
라라558910,2203.35
라라559841,7595.349
라라559842,2647.545
라라559853,4435.39
라라559854,6162.756
라라559855,8245.65
라라559856,2927.811
라라559861,399.899
라라559862,3956.564
라라559868,999.497
라라559869,4461.043
라라559870,8163.423
라라559871,31668.478
라라559872,31473.861
라라559873,46940.462
라라559874,1833.354
라라559875,2258.281
라라559876,4999.761
라라559877,7346.621
라라559878,22465.913
라라559879,5543.819
라라559880,5288.652
라라559881,2463.707
라라559882,1091.917
라라559883,838.663
라라559887,6230.821
라라559888,1897.872
라라559889,8223.211
라라559890,7129.14
라라559892,2114.986
라라559893,1380.386
라라559894,830.939
라라559895,2057.117
라라559896,1949.609
라라559897,9581.334
라라559898,6042.345
라라559899,5253.211
라라559900,5834.842
라라559901,7134.962
라라559902,2116.743
라라559905,6661.804
라라559906,419.434
라라559907,751.502
라라559908,7052.995
라라560840,50.071
라라560841,3007.096
라라560842,5671.299
라라560853,1656.742
라라560854,8576.451
라라560855,21367.794
라라560856,4736.046
라라560861,104.432
라라560862,602.424
라라560868,2345.904
라라560869,2058.741
라라560870,3335.588
라라560871,9977.318
라라560872,6756.05
라라560873,12425.716
라라560874,7743.978
라라560875,6548.082
라라560876,2598.436
라라560877,4842.886
라라560878,7194.994
라라560879,7036.771
라라560880,13477.989
라라560881,7022.691
라라560882,11805.339
라라560883,2799.801
라라560884,3121.683
라라560885,843.958
라라560887,2306.521
라라560888,16034.608
라라560889,16909.576
라라560890,5429.864
라라560891,7921.179
라라560892,6939.391
라라560893,5032.335
라라560894,290.018
라라560895,1781.017
라라560896,5798.627
라라560897,7777.501
라라560898,7572.718
라라560899,14712.607
라라560900,6973.862
라라560901,3243.32
라라560902,412.742
라라561841,1148.583
라라561842,5825.274
라라561845,1073.646
라라561853,1172.599
라라561854,7102.427
라라561855,22548.3
라라561856,6003.601
라라561861,2570.933
라라561862,4848.144
라라561863,921.342
라라561868,5780.978
라라561869,3362.578
라라561870,2761.634
라라561871,3953.89
라라561872,3093.822
라라561873,5.756
라라561874,3072.311
라라561875,2572.016
라라561876,4580.608
라라561877,3135.784
라라561878,15735.709
라라561879,19447.026
라라561880,43187.301
라라561881,35404.6
라라561882,19873.617
라라561883,12619.267
라라561884,7299.364
라라561885,6548.952
라라561886,6486.598
라라561887,7818.428
라라561888,8652.84
라라561889,7494.457
라라562845,720.82
라라562848,1821.842
라라562854,904.53
라라562855,3030.873
라라562856,8095.403
라라562862,3182.907
라라562870,5752.418
라라562871,5814.698
라라562878,3211.887
