집계군명,가구코드,가구수
38030710030502,ga_sd_005,172.0
38030710030601,ga_sd_005,19.0
38030710030602,ga_sd_005,48.0
38030710030603,ga_sd_005,20.0
38030710030701,ga_sd_005,47.0
38030710030702,ga_sd_005,33.0
38030710040001,ga_sd_005,108.0
38030710040101,ga_sd_005,28.0
38030710040102,ga_sd_005,46.0
38030710040103,ga_sd_005,78.0
38030710040104,ga_sd_005,93.0
38030710040105,ga_sd_005,49.0
38030710040106,ga_sd_005,150.0
38030720010001,ga_sd_005,112.0
38030720010002,ga_sd_005,78.0
38030720010003,ga_sd_005,97.0
38030720010004,ga_sd_005,72.0
38030720010005,ga_sd_005,212.0
38030720010006,ga_sd_005,81.0
38030720010007,ga_sd_005,250.0
38030720010008,ga_sd_005,59.0
38030720010009,ga_sd_005,304.0
38030720010010,ga_sd_005,222.0
38030720010011,ga_sd_005,75.0
38030720010012,ga_sd_005,60.0
38030720010013,ga_sd_005,114.0
38030720010014,ga_sd_005,77.0
38030720010015,ga_sd_005,159.0
38030720010016,ga_sd_005,100.0
38030720010017,ga_sd_005,84.0
38030720010018,ga_sd_005,33.0
38030720010019,ga_sd_005,87.0
38030720010020,ga_sd_005,80.0
38030720010021,ga_sd_005,200.0
38030720010022,ga_sd_005,
38030720010023,ga_sd_005,249.0
38030720010024,ga_sd_005,137.0
38030720010025,ga_sd_005,62.0
38030720010026,ga_sd_005,209.0
38030720010027,ga_sd_005,64.0
38030720010028,ga_sd_005,99.0
38030720010029,ga_sd_005,113.0
38030720010030,ga_sd_005,220.0
38030720010031,ga_sd_005,118.0
38030720010032,ga_sd_005,80.0
38030720010033,ga_sd_005,145.0
38030720010034,ga_sd_005,167.0
38030720010101,ga_sd_005,55.0
38030720010102,ga_sd_005,27.0
38030720010301,ga_sd_005,61.0
38030720010501,ga_sd_005,46.0
38030720010701,ga_sd_005,44.0
38030720010801,ga_sd_005,57.0
38030720010901,ga_sd_005,66.0
38030720011701,ga_sd_005,41.0
38030720011702,ga_sd_005,61.0
38030720011703,ga_sd_005,27.0
38030720011704,ga_sd_005,56.0
38030720011801,ga_sd_005,27.0
38030720011901,ga_sd_005,18.0
38030720012001,ga_sd_005,43.0
38030720012002,ga_sd_005,26.0
38030720012003,ga_sd_005,29.0
38030720012004,ga_sd_005,46.0
38030720012005,ga_sd_005,47.0
38030720012101,ga_sd_005,29.0
38030720012102,ga_sd_005,28.0
38030720012103,ga_sd_005,29.0
38030720012201,ga_sd_005,45.0
38030720012202,ga_sd_005,57.0
38030720012203,ga_sd_005,46.0
38030720012204,ga_sd_005,33.0
38030720012601,ga_sd_005,32.0
38030720012602,ga_sd_005,56.0
38030720012603,ga_sd_005,32.0
38030720012604,ga_sd_005,80.0
38030720012605,ga_sd_005,36.0
38030730010001,ga_sd_005,174.0
38030730010002,ga_sd_005,188.0
38030730010003,ga_sd_005,98.0
38030730010004,ga_sd_005,98.0
38030730010005,ga_sd_005,146.0
38030730010006,ga_sd_005,111.0
38030730010007,ga_sd_005,109.0
38030730010008,ga_sd_005,126.0
38030730010009,ga_sd_005,176.0
38030730010010,ga_sd_005,129.0
38030730010011,ga_sd_005,151.0
38030730010012,ga_sd_005,124.0
38030730010013,ga_sd_005,108.0
38030730010014,ga_sd_005,151.0
38030730010015,ga_sd_005,124.0
38030730010016,ga_sd_005,151.0
38030730010017,ga_sd_005,117.0
38030730010018,ga_sd_005,52.0
38030730010019,ga_sd_005,166.0
38030730010020,ga_sd_005,128.0
38030730010021,ga_sd_005,89.0
38030740010001,ga_sd_005,113.0
38030740010002,ga_sd_005,111.0
38030740010003,ga_sd_005,133.0
38030740010004,ga_sd_005,87.0
38030740010005,ga_sd_005,107.0
38030740010006,ga_sd_005,106.0
38030740010007,ga_sd_005,121.0
38030740010008,ga_sd_005,120.0
38030740010009,ga_sd_005,150.0
38030740010010,ga_sd_005,163.0
38030740010011,ga_sd_005,95.0
38030740010012,ga_sd_005,103.0
38030740010013,ga_sd_005,86.0
38030740010014,ga_sd_005,90.0
38030740010015,ga_sd_005,88.0
38030740010016,ga_sd_005,138.0
38030740010017,ga_sd_005,108.0
38030740010018,ga_sd_005,89.0
38030740010019,ga_sd_005,76.0
38030740010101,ga_sd_005,23.0
38030740010401,ga_sd_005,40.0
38030740010501,ga_sd_005,346.0
38030750010001,ga_sd_005,81.0
38030750010002,ga_sd_005,60.0
38030750010003,ga_sd_005,159.0
38030750010004,ga_sd_005,111.0
38030750010005,ga_sd_005,115.0
38030750010006,ga_sd_005,94.0
38030750010007,ga_sd_005,79.0
38030750010008,ga_sd_005,198.0
38030750010009,ga_sd_005,54.0
38030750010010,ga_sd_005,73.0
38030750010011,ga_sd_005,92.0
38030750010012,ga_sd_005,88.0
38030750010013,ga_sd_005,100.0
38030750010014,ga_sd_005,85.0
38030750010015,ga_sd_005,106.0
38030750010016,ga_sd_005,123.0
38030750010017,ga_sd_005,165.0
38030750010018,ga_sd_005,103.0
38030750010019,ga_sd_005,81.0
38030750010020,ga_sd_005,68.0
38030750010021,ga_sd_005,132.0
38030750010022,ga_sd_005,75.0
38030750010101,ga_sd_005,294.0
38030750010301,ga_sd_005,45.0
38030750010302,ga_sd_005,69.0
38030750010501,ga_sd_005,74.0
38030750010502,ga_sd_005,63.0
38030750010701,ga_sd_005,113.0
38030760010001,ga_sd_005,70.0
38030760010101,ga_sd_005,19.0
38030760010102,ga_sd_005,7.0
38030760010103,ga_sd_005,24.0
38030760010104,ga_sd_005,9.0
38030760010105,ga_sd_005,19.0
38030760010106,ga_sd_005,10.0
38030760010107,ga_sd_005,12.0
38030760010201,ga_sd_005,23.0
38030760010202,ga_sd_005,23.0
38030760010203,ga_sd_005,11.0
38030760010204,ga_sd_005,18.0
38030760010205,ga_sd_005,11.0
38030760010206,ga_sd_005,23.0
38030760010207,ga_sd_005,12.0
38030760010208,ga_sd_005,12.0
