학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000024412,갈전초등학교,초등학교,2014-03-01,공립,본교,운영,경상남도 진주시 충무공동 190-1,경상남도 진주시 사들로 173,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.18320304,128.1490625,2024-03-22
B000011039,진명여자중학교,중학교,1980-03-05,공립,본교,운영,경상남도 진주시 하대동 120-1,경상남도 진주시 남강로1413번길 34,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.18786394,128.1256918,2024-03-22
B000011044,진주동명중학교,중학교,1968-05-11,사립,본교,운영,경상남도 진주시 초전동 515,경상남도 진주시 대신로 454-25,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.20257652,128.1186018,2024-03-22
B000013324,진주여자고등학교,고등학교,1925-04-25,공립,본교,운영,경상남도 진주시 상봉동 856-1,경상남도 진주시 창렬로 185,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.20114847,128.0767716,2024-03-22
B000007577,동진초등학교,초등학교,1986-04-30,공립,본교,운영,경상남도 진주시 하대동 119-1,경상남도 진주시 도동로184번길 13,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.18779911,128.1245508,2024-03-22
B000013327,진주동명고등학교,고등학교,1952-05-11,사립,본교,운영,경상남도 진주시 초전동 534,경상남도 진주시 대신로 454-25,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.20257652,128.1186979,2024-03-22
B000007576,신진초등학교,초등학교,2002-03-01,공립,본교,운영,경상남도 진주시 평거동 748-4,경상남도 진주시 신평공원길57번길 19,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.17486075,128.0664729,2024-03-22
B000011041,진주봉원중학교,중학교,1984-03-01,공립,본교,운영,경상남도 진주시 상봉동 1445,경상남도 진주시 진주성로 169,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.20497214,128.0736008,2024-03-22
B000007562,도동초등학교,초등학교,1926-04-19,공립,본교,운영,경상남도 진주시 하대동 343-3,경상남도 진주시 대신로 324,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.19015527,128.1176781,2024-03-22
B000007556,봉곡초등학교,초등학교,1969-10-06,공립,본교,운영,경상남도 진주시 봉곡동 465-1,경상남도 진주시 북장대로36번길 8,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.19410351,128.0757823,2024-03-22
B000011054,진주동중학교,중학교,1969-03-01,사립,본교,운영,경상남도 진주시 금산면 중천리 281-3,경상남도 진주시 금산면 중천로 42,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.21676532,128.1426495,2024-03-22
B000011045,삼현여자중학교,중학교,1971-03-08,사립,본교,운영,경상남도 진주시 상평동 218-1,경상남도 진주시 돗골로 115,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.17765098,128.1107371,2024-03-22
B000013331,대곡고등학교,고등학교,1967-03-01,공립,본교,운영,경상남도 진주시 대곡면 유곡리 16-1,경상남도 진주시 대곡면 남강로2438번길 39,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.2624116,128.1663986,2024-03-22
B000023959,문산중학교,중학교,1950-04-15,공립,본교,운영,경상남도 진주시 충무공동 273-1,경상남도 진주시 충의로 68,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.176983,128.15248,2024-03-22
B000011050,지수중학교,중학교,1971-04-28,공립,본교,운영,경상남도 진주시 지수면 승산리 511-1,경상남도 진주시 지수면 용봉로 7,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.22983862,128.26753,2024-03-22
B000013325,진주중앙고등학교,고등학교,2002-03-01,공립,본교,운영,경상남도 진주시 하대동 294-1,경상남도 진주시 하대로 59,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.19400986,128.1190142,2024-03-22
B000007586,사봉초등학교,초등학교,1925-07-01,공립,본교,운영,경상남도 진주시 사봉면 사곡리 993-1,경상남도 진주시 사봉면 사군로 99,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.18935277,128.2691482,2024-03-22
B000007557,봉원초등학교,초등학교,1967-03-01,공립,본교,운영,경상남도 진주시 상봉동 777,경상남도 진주시 의병로 95-20,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.20145991,128.0702711,2024-03-22
B000007589,금호초등학교,초등학교,2008-03-01,공립,본교,운영,경상남도 진주시 금산면 장사리 961,경상남도 진주시 금산면 중천로67번길 25,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.2190172,128.1436601,2024-03-22
B000007579,내동초등학교,초등학교,1930-06-10,공립,본교,운영,경상남도 진주시 내동면 독산리 568-4,경상남도 진주시 내동면 순환로 426,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.16512296,128.0676691,2024-03-22
B000013323,명신고등학교,고등학교,1984-03-02,공립,본교,운영,경상남도 진주시 초전동 1225-1,경상남도 진주시 대신로 614,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.21571985,128.1143969,2024-03-22
B000013586,진주고등학교,고등학교,1925-04-24,공립,본교,운영,경상남도 진주시 상봉동 987-1,경상남도 진주시 의곡길 29,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.20009654,128.0802351,2024-03-22
B000013330,진주제일여자고등학교,고등학교,1986-01-15,사립,본교,운영,경상남도 진주시 하대동 465,경상남도 진주시 하대로34번길 11-9,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.19065525,128.1143105,2024-03-22
B000007582,금곡초등학교,초등학교,1923-09-10,공립,본교,운영,경상남도 진주시 금곡면 두문리 682-5,경상남도 진주시 금곡면 월아산로89번길 11,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.0900106,128.1852532,2024-03-22
B000007571,촉석초등학교,초등학교,1981-03-01,공립,본교,운영,경상남도 진주시 이현동 25-1,경상남도 진주시 평거로 259,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.19029789,128.0623635,2024-03-22
B000011042,개양중학교,중학교,2008-03-01,공립,본교,운영,경상남도 진주시 가좌동 669,경상남도 진주시 동부로 27,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.16041383,128.1097423,2024-03-22
B000011908,경남예술고등학교,고등학교,1990-03-01,사립,본교,운영,경상남도 진주시 장재동 417-2,경상남도 진주시 진산로322번길 11-7,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.21654607,128.1032775,2024-03-22
B000023278,진양고등학교,고등학교,1951-05-01,공립,본교,운영,경상남도 진주시 충무공동 273-3,경상남도 진주시 충의로100번길 12,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.1757894,128.1525045,2024-03-22
B000013328,삼현여자고등학교,고등학교,1972-03-08,사립,본교,운영,경상남도 진주시 상평동 217-1,경상남도 진주시 돗골로 95,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.17740441,128.1120405,2024-03-22
B000011758,진주기계공업고등학교,고등학교,1962-03-27,공립,본교,운영,경상남도 진주시 상평동 272-1,경상남도 진주시 공단로43번길 25,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.17618865,128.1018139,2024-03-22
B000007559,주약초등학교,초등학교,2003-03-01,공립,본교,운영,경상남도 진주시 주약동 360-12,경상남도 진주시 천수로 64,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.17211514,128.0920596,2024-03-22
