gid,no,instl_pupr,administ,instl_dtl,lo,la,tot_camera,pixel,instl_de,geometry
102850,21732,생활방범,경상남도 진주시청,,128.062843,35.172483,2,200,2022-11-21,POINT (128.062843 35.172483)
102851,21733,생활방범,경상남도 진주시청,,128.06484,35.182247,3,200,2022-11-21,POINT (128.06484 35.182247)
102852,21734,생활방범,경상남도 진주시청,,128.06484,35.182247,4,200,2022-11-21,POINT (128.06484 35.182247)
102855,21737,생활방범,경상남도 진주시청,,128.06484,35.182247,2,200,2022-11-21,POINT (128.06484 35.182247)
102856,21738,생활방범,경상남도 진주시청,,128.115084,35.206903,2,200,2022-11-21,POINT (128.115084 35.206903)
102858,21740,생활방범,경상남도 진주시청,경상남도 진주시 남강로 1655 (초전동),128.126343,35.20433,5,200,2022-11-21,POINT (128.126343 35.20433)
102859,21741,생활방범,경상남도 진주시청,경상남도 진주시 남강로 1655 (초전동),128.126228,35.204889,5,200,2022-11-21,POINT (128.126228 35.204889)
102860,21742,생활방범,경상남도 진주시청,,128.124387,35.173072,2,200,2022-11-21,POINT (128.124387 35.173072)
102861,21743,생활방범,경상남도 진주시청,,128.105215,35.175502,3,200,2022-11-21,POINT (128.105215 35.175502)
102862,21744,생활방범,경상남도 진주시청,,128.108356,35.17594,2,200,2022-11-21,POINT (128.108356 35.17594)
102863,21745,생활방범,경상남도 진주시청,,128.124657,35.192473,4,200,2022-11-21,POINT (128.124657 35.192473)
102864,21746,생활방범,경상남도 진주시청,,128.120126,35.194137,2,200,2022-11-21,POINT (128.120126 35.194137)
102865,21747,생활방범,경상남도 진주시청,,128.073921,35.202056,1,200,2022-11-21,POINT (128.073921 35.202056)
102866,21748,생활방범,경상남도 진주시청,경상남도 진주시 진주성로 141 (상봉동),128.073921,35.202056,4,200,2022-11-21,POINT (128.073921 35.202056)
102867,21749,생활방범,경상남도 진주시청,경상남도 진주시 향교로105번길 19-1 (옥봉동),128.093979,35.199244,6,200,2022-11-21,POINT (128.093979 35.199244)
102868,21750,생활방범,경상남도 진주시청,,128.08827,35.19297,2,200,2022-11-21,POINT (128.08827 35.19297)
102869,21751,생활방범,경상남도 진주시청,,128.1005859,35.1924684,1,200,2022-11-21,POINT (128.1005859 35.1924684)
102870,21752,생활방범,경상남도 진주시청,,128.099852,35.191909,3,200,2022-11-21,POINT (128.099852 35.191909)
102871,21753,생활방범,경상남도 진주시청,,128.100455,35.191483,3,200,2022-11-21,POINT (128.100455 35.191483)
102872,21754,생활방범,경상남도 진주시청,,128.164394,35.160159,1,200,2022-11-21,POINT (128.164394 35.160159)
102873,21755,생활방범,경상남도 진주시청,,128.171311,35.161307,2,200,2022-11-21,POINT (128.171311 35.161307)
102874,21756,생활방범,경상남도 진주시청,경상남도 진주시 문산읍 월아산로996번길 67,128.171567,35.160203,3,200,2022-11-21,POINT (128.171567 35.160203)
102875,21757,생활방범,경상남도 진주시청,경상남도 진주시 도동로239번길 13 (하대동),128.120632,35.191863,4,200,2022-11-21,POINT (128.120632 35.191863)
102876,21758,생활방범,경상남도 진주시청,경상남도 진주시 남강로 1433 (하대동),128.128128,35.188063,4,200,2022-11-21,POINT (128.128128 35.188063)
102877,21759,생활방범,경상남도 진주시청,경상남도 진주시 도동로172번길 11-2 (하대동),128.126138,35.185812,3,200,2022-11-21,POINT (128.126138 35.185812)
102878,21760,생활방범,경상남도 진주시청,,128.119883,35.193812,2,200,2022-11-21,POINT (128.119883 35.193812)
102879,21761,생활방범,경상남도 진주시청,경상남도 진주시 진양호로145번길 25-1 (평거동),128.05483,35.171359,4,200,2022-11-21,POINT (128.05483 35.171359)
102880,21762,생활방범,경상남도 진주시청,,128.08689,35.188695,3,200,2022-11-21,POINT (128.08689 35.188695)
102881,21763,생활방범,경상남도 진주시청,경상남도 진주시 강남로 110 (칠암동),128.098253,35.178553,3,200,2022-11-21,POINT (128.098253 35.178553)
102882,21764,생활방범,경상남도 진주시청,경상남도 진주시 진주대로920번길 12-1 (칠암동),128.090681,35.182726,4,200,2022-11-21,POINT (128.090681 35.182726)
102883,21765,생활방범,경상남도 진주시청,,128.109939,35.207885,3,200,2022-11-21,POINT (128.109939 35.207885)
102884,21766,생활방범,경상남도 진주시청,경상남도 진주시 초전북로19번길 2 (초전동),128.109208,35.207757,3,200,2022-11-21,POINT (128.109208 35.207757)
103038,21920,생활방범,경상남도 진주시청,,128.067279,35.170269,2,200,2022-11-21,POINT (128.067279 35.170269)
102996,21878,생활방범,경상남도 진주시청,경상남도 진주시 의병로58번길 8 (상봉동),128.069067,35.198288,2,200,2022-11-21,POINT (128.069067 35.198288)
102997,21879,생활방범,경상남도 진주시청,경상남도 진주시 의병로129번길 10 (상봉동),128.072858,35.202622,2,200,2022-11-21,POINT (128.072858 35.202622)
102998,21880,생활방범,경상남도 진주시청,경상남도 진주시 창렬로162번길 12-1 (상봉동),128.07522,35.19836,2,200,2022-11-21,POINT (128.07522 35.19836)
102999,21881,생활방범,경상남도 진주시청,경상남도 진주시 의병로129번길 2 (상봉동),128.072423,35.201969,2,200,2022-11-21,POINT (128.072423 35.201969)
103000,21882,생활방범,경상남도 진주시청,경상남도 진주시 진주성로178번길 2 (상봉동),128.074402,35.205266,3,200,2022-11-21,POINT (128.074402 35.205266)
103001,21883,생활방범,경상남도 진주시청,경상남도 진주시 북장대로82번길 12-2 (상봉동),128.073608,35.197703,4,200,2022-11-21,POINT (128.073608 35.197703)
103002,21884,생활방범,경상남도 진주시청,경상남도 진주시 창렬로80번길 7 (상봉동),128.069443,35.195795,2,200,2022-11-21,POINT (128.069443 35.195795)
103003,21885,생활방범,경상남도 진주시청,경상남도 진주시 비봉로90번길 7-10 (상봉동),128.079614,35.199444,2,200,2022-11-21,POINT (128.079614 35.199444)
103004,21886,생활방범,경상남도 진주시청,,128.074694,35.201386,2,200,2022-11-21,POINT (128.074694 35.201386)
103005,21887,생활방범,경상남도 진주시청,경상남도 진주시 북장대로 76 (상봉동),128.072839,35.196784,2,200,2022-11-21,POINT (128.072839 35.196784)
103006,21888,생활방범,경상남도 진주시청,경상남도 진주시 창렬로145번길 9-1 (상봉동),128.078306,35.198089,2,200,2022-11-21,POINT (128.078306 35.198089)
103007,21889,생활방범,경상남도 진주시청,경상남도 진주시 창렬로150번길 11 (상봉동),128.074103,35.198154,4,200,2022-11-21,POINT (128.074103 35.198154)
103008,21890,생활방범,경상남도 진주시청,경상남도 진주시 의병로144번길 9-2 (상봉동),128.074015,35.201262,2,200,2022-11-21,POINT (128.074015 35.201262)
103009,21891,생활방범,경상남도 진주시청,경상남도 진주시 비봉로85번길 10 (상봉동),128.078102,35.198198,4,200,2022-11-21,POINT (128.078102 35.198198)
103010,21892,생활방범,경상남도 진주시청,경상남도 진주시 의병로71번길 9 (상봉동),128.067792,35.199878,1,200,2022-11-21,POINT (128.067792 35.199878)
103011,21893,생활방범,경상남도 진주시청,경상남도 진주시 상봉대룡길5번길 22-1 (상봉동),128.067166,35.200518,2,200,2022-11-21,POINT (128.067166 35.200518)
